NUMSTEPS	PI	Elapsed_time_sec
1000	3.141592736923128	0.000010
10000	3.141592654423124	0.000008
100000	3.141592653598126	0.000083
1000000	3.141592653589875	0.000816
10000000	3.141592653589670	0.008334
100000000	3.141592653589683	0.100874
1000000000	3.141592653589822	0.792669
10000000000	3.141592653589576	7.531375
100000000000	3.141592653587657	80.385840
1000000000000	3.141592655478990	790.781962
